pid,grp,duration
1,0,16
1,2,246
1,3,-99
2,0,46
2,1,3
2,2,89
2,3,-99
3,0,26
3,1,21
3,3,-99
4,0,7
4,1,10
4,2,17
4,3,-99
5,1,114
5,3,-99
6,0,28
6,1,47
6,3,-99
7,0,9
7,1,45
7,2,24
7,3,-99
8,0,1
8,1,95
8,2,16
8,3,-99
9,0,5
9,1,31
9,2,40
9,3,-99
10,0,35
10,1,130
10,3,-99
