 pid	grp	duration
201	3	-99
202	1	1
202	3	-99
203	0	1
203	1	6
203	2	15
203	3	-99
204	0	89
204	2	4
204	3	-99
205	1	42
205	2	7
205	3	-99
206	0	227
206	1	26
206	2	29
206	3	-99
207	0	12
207	1	1
207	3	-99
208	0	93
208	1	50
208	3	-99
209	0	5
209	1	13
209	3	-99
210	0	2
210	1	14
210	2	4
210	3	-99
211	0	69
211	1	26
211	2	62
211	3	-99
212	1	25
212	3	-99
213	0	49
213	1	16
213	3	-99
214	0	6
214	1	29
214	3	-99
215	0	3
215	1	53
215	2	189
215	3	-99
216	1	63
216	2	11
216	3	-99
217	0	1
217	1	4
217	2	32
217	3	-99
218	1	114
218	3	-99
219	0	49
219	1	35
219	2	18
219	3	-99
220	0	1
220	1	125
220	3	-99
221	0	2
221	1	1
221	2	28
221	3	-99
222	0	21
222	2	12
222	3	-99
223	0	2
223	1	14
223	2	4
223	3	-99
224	0	6
224	1	29
224	3	-99
225	0	10
225	1	41
225	2	58
225	3	-99
226	0	54
226	1	22
226	3	-99
227	1	21
227	2	33
227	3	-99
228	0	3
228	1	7
228	2	11
228	3	-99
229	1	12
229	2	5
229	3	-99
230	0	13
230	1	11
230	2	81
230	3	-99
231	0	4
231	1	30
231	2	24
231	3	-99
232	0	1
232	1	88
232	2	189
232	3	-99
233	0	2
233	1	2
233	3	-99
234	0	9
234	1	3
234	2	29
234	3	-99
235	0	39
235	1	13
235	2	8
235	3	-99
236	0	8
236	1	49
236	2	15
236	3	-99
237	0	2
237	2	36
237	3	-99
238	0	34
238	1	2
238	2	94
238	3	-99
239	0	36
239	1	9
239	2	25
239	3	-99
240	0	108
240	1	36
240	3	-99
241	1	50
241	3	-99
242	0	6
242	1	14
242	2	27
242	3	-99
243	1	28
243	2	5
243	3	-99
244	0	26
244	1	3
244	2	25
244	3	-99
245	0	93
245	1	50
245	3	-99
246	0	3
246	1	12
246	2	16
246	3	-99
247	0	4
247	2	31
247	3	-99
248	0	82
248	1	4
248	2	68
248	3	-99
249	0	7
249	1	89
249	2	5
249	3	-99
250	0	7
250	1	16
250	2	60
250	3	-99
